element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""2765.4879""","=""0.0011""","=""2765.4884""","=""0.0008""","=""-0.0005""","=""3615.9984""","=""10""","=""""",,"=""25.42657193""","=""25.87489852""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""5/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2768.2964""","=""0.0003""","=""2768.2962""","=""0.0003""","=""0.0002""","=""3612.3299""","=""30""","=""""",,"=""24.79461100""","=""25.24248286""","=""3s2.3p4.(1D).4d""","=""2D""","=""3/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""2792.9752""","=""0.0003""","=""2792.97529""","=""0.00023""","=""-0.0001""","=""3580.4113""","=""25""","=""""",,"=""23.070289982""","=""23.514204395""","=""3s2.3p4.(3P).4d""","=""4F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2807.269""","=""0.003""","=""2807.2664""","=""0.0006""","=""0.003""","=""3562.182""","=""7""","=""""",,"=""23.87401512""","=""24.31566967""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""2807.3580""","=""0.0002""","=""2807.3581""","=""0.0003""","=""-0.0001""","=""3562.0679""","=""34""","=""""",,"=""24.800842727""","=""25.24248286""","=""3s2.3p4.(3P).6s""","=""2P""","=""3/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""2841.0252""","=""0.0003""","=""2841.0248""","=""0.0003""","=""0.0004""","=""3519.8561""","=""26""","=""""",,"=""24.79461100""","=""25.231017595""","=""3s2.3p4.(1D).4d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2842.7457""","=""0.0010""","=""2842.7447""","=""0.0003""","=""0.0010""","=""3517.7259""","=""7""","=""""",,"=""24.75714540""","=""25.193287976""","=""3s2.3p4.(1D).4d""","=""2D""","=""5/2""","=""3s2.3p4.(1D).5p""","=""2F*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""2855.6653""","=""0.0019""","=""2855.6647""","=""0.0015""","=""0.0006""","=""3501.811""","=""8""","=""""",,"=""25.61810033""","=""26.05226965""","=""3s2.3p4.(3P<0>).5f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P).6d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2860.4438""","=""0.0009""","=""2860.4445""","=""0.0003""","=""-0.0007""","=""3495.9610""","=""9""","=""""",,"=""24.82597075""","=""25.259414577""","=""3s2.3p4.(1D).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2860.7981""","=""0.0004""","=""2860.7981""","=""0.0003""","="" 0.0000""","=""3495.5280""","=""24""","=""""",,"=""24.996318074""","=""25.42970831""","=""3s2.3p4.(3P).5d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<2>).5f""","=""2[5]*""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""2865.335""","=""0.002""","=""2865.3356""","=""0.0003""","=""-0.0006""","=""3489.993""","=""5""","=""""",,"=""24.87417696""","=""25.30688090""","=""3s2.3p4.(3P).6s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).5p""","=""2D*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2870.3205""","=""0.0006""","=""2870.3209""","=""0.0003""","=""-0.0004""","=""3483.9315""","=""14""","=""""",,"=""24.810530468""","=""25.24248286""","=""3s2.3p4.(3P).6s""","=""4P""","=""1/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
H,1,"=""""","=""""","=""2872.996""","=""0.006""","=""""","=""3480.688""","=""(1100)""","=""2.2460e+04""",AAA,"=""13.0545017""","=""13.48605194""","=""5""","=""""","=""""","=""11""","=""""","=""""",,"=""T8637""","=""""",
Ar,2,"=""2882.1817""","=""0.0002""","=""2882.18135""","=""0.00025""","=""0.0003""","=""3469.5938""","=""158""","=""""",,"=""24.800842727""","=""25.231017595""","=""3s2.3p4.(3P).6s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2904.7339""","=""0.0010""","=""2904.7364""","=""0.0003""","=""-0.0025""","=""3442.6562""","=""7""","=""""",,"=""24.81564826""","=""25.24248286""","=""3s2.3p4.(3P).5d""","=""4D""","=""3/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""2906.0939""","=""0.0003""","=""2906.0938""","=""0.0003""","=""0.0001""","=""3441.0450""","=""79""","=""""",,"=""24.649622089""","=""25.076257320""","=""3s2.3p4.(3P).6s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4P*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2921.3404""","=""0.0003""","=""2921.3403""","=""0.0003""","=""0.0001""","=""3423.0862""","=""182""","=""""",,"=""23.258113744""","=""23.682522355""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2923.55""","=""0.01""","=""2923.545""","=""0.013""","=""0.005""","=""3420.50""","=""130""","=""""",,"=""26.0910933""","=""26.5151818""","=""3s2.3p4.(3P<2>).6f""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P<2>).7g""","=""2[5]""","=""11/2""",,"=""""","=""L11330""",
Ar,2,"=""2929.675""","=""0.011""","=""2929.649""","=""0.003""","=""0.026""","=""3413.348""","=""5""","=""""",,"=""26.09211674""","=""26.5153217""","=""3s2.3p4.(3P<2>).6f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<2>).7g""","=""2[4]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""2930.577""","=""0.017""","=""2930.573""","=""0.004""","=""0.004""","=""3412.297""","=""5""","=""""",,"=""26.09211674""","=""26.5151883""","=""3s2.3p4.(3P<2>).6f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<2>).7g""","=""2[5]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""2936.0867""","=""0.0003""","=""2936.0863""","=""0.0003""","=""0.0004""","=""3405.8940""","=""195""","=""""",,"=""24.690028614""","=""25.11230570""","=""3s2.3p4.(3P).6s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2939.18""","=""0.01""","=""2939.175""","=""0.004""","=""0.005""","=""3402.30""","=""50""","=""""",,"=""26.23162100""","=""26.6534543""","=""3s2.3p4.(3P<1>).6f""","=""2[2]*""","=""3/2""","=""3s2.3p4.(3P<1>).7g""","=""2[3]""","=""5/2""",,"=""""","=""L11330""",
Ar,2,"=""2941.469""","=""0.002""","=""2941.4685""","=""0.0007""","=""0.0005""","=""3399.662""","=""6""","=""""",,"=""25.40801331""","=""25.82951773""","=""3s2.3p4.(3P).6p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""2944.68""","=""0.01""","=""2944.660""","=""0.018""","=""0.020""","=""3395.95""","=""60*""","=""""",,"=""26.0959240""","=""26.5169717""","=""3s2.3p4.(3P<2>).6f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<2>).7g""","=""2[3]""","=""5/2""",,"=""""","=""L11330""",
Ar,2,"=""2944.68""","=""0.01""","=""2944.723""","=""0.004""","=""-0.043""","=""3395.95""","=""60*""","=""""",,"=""26.0942982""","=""26.5153368""","=""3s2.3p4.(3P<2>).6f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<2>).7g""","=""2[4]""","=""7/2""",,"=""""","=""L11330""",
Ar,2,"=""2944.68""","=""0.01""","=""2944.766""","=""0.011""","=""-0.086""","=""3395.95""","=""60*""","=""""",,"=""26.0959240""","=""26.5169564""","=""3s2.3p4.(3P<2>).6f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<2>).7g""","=""2[3]""","=""7/2""",,"=""""","=""L11330""",
